"endTime","artistName","trackName","msPlayed"
"2020-03-01 08:37","Beyoncé","Baby Boy (feat. Sean Paul)",244866
"2020-03-01 08:40","Trey Songz","Hail Mary (feat. Young Jeezy & Lil Wayne)",10078
"2021-03-24 13:59","Sam Smith","Diamonds",31444
"2021-03-25 22:56","Kali Uchis","la luz(Fín)",107121
"2021-03-26 01:12","Sam Smith","Love Is A Losing Game",34676
"2021-03-26 01:12","Calvin Harris","Promises (with Sam Smith)",213299
"2021-03-26 01:15","Sam Smith","I’m Ready (with Demi Lovato)",6827
"2021-03-26 01:15","Sam Smith","So Serious",172572
"2021-03-26 01:19","Residente","Bellacoso",257864
"2021-03-26 01:25","Residente","Bellacoso",145312
"2021-03-26 01:28","Bad Bunny","Bichiyal",196500
"2021-03-26 01:28","Bad Bunny","P FKN R",8282
"2021-03-26 01:30","Bad Bunny","La Zona",136892
"2021-03-26 01:31","Bad Bunny","Una Vez",40744
"2021-03-26 01:33","Bad Bunny","Que Malo",105500
"2021-03-26 01:34","Bad Bunny","Ignorantes",77660
"2021-03-26 01:37","Bad Bunny","<3",2296
"2021-03-26 01:37","Bad Bunny","A Tu Merced",175918
"2021-03-26 01:40","Bad Bunny","Ignorantes",210606
"2021-03-26 01:41","Bad Bunny","P FKN R",16825
"2021-03-26 01:44","Bad Bunny","Bichiyal",182246
"2021-03-26 01:46","Bad Bunny","La Zona",136892
"2021-03-26 01:49","Bad Bunny","Bichiyal",196500
"2021-03-26 01:49","Bad Bunny","Puesto Pa' Guerrial",5450
"2021-03-26 04:45","alt-J","In Cold Blood",206026
"2021-03-26 04:46","Beirut","No No No",88980
"2021-03-26 04:50","Kings of Convenience","Know How",238173
"2021-03-26 04:54","SOHN","Tremors",11569
"2021-03-26 04:54","Milky Chance","Flashed Junk Mind",6776
"2021-03-26 04:54","Milky Chance","Sweet Sun",226016
"2021-03-26 04:55","Kings of Convenience","Me In You",5374
"2021-03-26 04:57","The Whitest Boy Alive","1517",167130
"2021-03-26 05:01","Kanye West","The Glory",1634
"2021-03-26 05:01","Arcade Fire","The Suburbs",186989
